X,CH1,
Second,Volt,
-1.3299999e-05,1.64000e+00,
-1.3200000e-05,1.60000e+00,
-1.3099999e-05,1.72000e+00,
-1.2999999e-05,1.68000e+00,
-1.2899999e-05,1.64000e+00,
-1.2799999e-05,1.60000e+00,
-1.2699999e-05,1.72000e+00,
-1.2600000e-05,1.72000e+00,
-1.2500000e-05,1.60000e+00,
-1.2399999e-05,1.68000e+00,
-1.2299999e-05,1.68000e+00,
-1.2199999e-05,1.68000e+00,
-1.2099999e-05,1.48000e+00,
-1.2000000e-05,1.44000e+00,
-1.1900000e-05,1.28000e+00,
-1.1799999e-05,1.24000e+00,
-1.1699999e-05,1.08000e+00,
-1.1599999e-05,1.08000e+00,
-1.1499999e-05,8.80000e-01,
-1.1399999e-05,8.80000e-01,
-1.1300000e-05,7.20000e-01,
-1.1200000e-05,6.80000e-01,
-1.1099999e-05,4.80000e-01,
-1.0999999e-05,4.40000e-01,
-1.0899999e-05,3.20000e-01,
-1.0799999e-05,2.80000e-01,
-1.0700000e-05,2.00000e-01,
-1.0600000e-05,2.00000e-01,
-1.0499999e-05,1.20000e-01,
-1.0399999e-05,1.20000e-01,
-1.0299999e-05,4.00000e-02,
-1.0199999e-05,4.00000e-02,
-1.0100000e-05,1.20000e-01,
-9.9999997e-06,1.20000e-01,
-9.8999990e-06,-4.00000e-02,
-9.7999991e-06,0.00000e+00,
-9.6999993e-06,1.20000e-01,
-9.5999994e-06,4.00000e-02,
-9.4999996e-06,-4.00000e-02,
-9.3999997e-06,1.20000e-01,
-9.2999999e-06,0.00000e+00,
-9.1999991e-06,-4.00000e-02,
-9.0999993e-06,8.00000e-02,
-8.9999994e-06,8.00000e-02,
-8.8999996e-06,-4.00000e-02,
-8.7999997e-06,-4.00000e-02,
-8.6999999e-06,8.00000e-02,
-8.5999991e-06,8.00000e-02,
-8.4999992e-06,0.00000e+00,
-8.3999994e-06,0.00000e+00,
-8.2999995e-06,4.00000e-02,
-8.1999997e-06,0.00000e+00,
-8.0999998e-06,1.20000e-01,
-8.0000000e-06,1.60000e-01,
-7.8999992e-06,2.80000e-01,
-7.7999994e-06,3.20000e-01,
-7.6999995e-06,4.80000e-01,
-7.5999997e-06,5.20000e-01,
-7.4999994e-06,7.20000e-01,
-7.3999995e-06,7.20000e-01,
-7.2999997e-06,9.20000e-01,
-7.1999998e-06,9.20000e-01,
-7.0999995e-06,1.08000e+00,
-6.9999996e-06,1.12000e+00,
-6.8999998e-06,1.28000e+00,
-6.7999995e-06,1.32000e+00,
-6.6999996e-06,1.44000e+00,
