X,CH1,
Second,Volt,
-1.1000000e-02,1.52000e+00,
-1.0000001e-02,1.48000e+00,
-9.0000005e-03,1.68000e+00,
-8.0000004e-03,1.68000e+00,
-7.0000002e-03,1.52000e+00,
-6.0000001e-03,1.52000e+00,
-4.9999999e-03,1.36000e+00,
-4.0000002e-03,1.36000e+00,
-3.0000000e-03,1.20000e+00,
-1.9999999e-03,1.20000e+00,
-9.9999970e-04,1.04000e+00,
1.8998980e-10,1.04000e+00,
1.0000004e-03,8.40000e-01,
2.0000006e-03,8.80000e-01,
3.0000003e-03,6.80000e-01,
4.0000002e-03,7.20000e-01,
5.0000004e-03,5.60000e-01,
6.0000005e-03,5.60000e-01,
7.0000007e-03,4.00000e-01,
8.0000013e-03,4.00000e-01,
9.0000005e-03,2.00000e-01,
1.0000001e-02,2.40000e-01,
1.1000001e-02,4.00000e-02,
1.2000001e-02,4.00000e-02,
1.3000001e-02,2.00000e-01,
1.4000001e-02,2.00000e-01,
1.5000002e-02,3.60000e-01,
1.6000001e-02,3.60000e-01,
1.7000001e-02,5.60000e-01,
1.8000001e-02,5.20000e-01,
1.9000001e-02,6.80000e-01,
2.0000001e-02,6.80000e-01,
2.1000000e-02,8.80000e-01,
2.2000000e-02,8.00000e-01,
2.3000000e-02,1.04000e+00,
2.4000000e-02,1.04000e+00,
2.5000000e-02,1.20000e+00,
2.6000001e-02,1.20000e+00,
2.7000001e-02,1.36000e+00,
2.8000001e-02,1.36000e+00,
2.8999999e-02,1.56000e+00,
3.0000001e-02,1.52000e+00,
3.0999999e-02,1.68000e+00,
3.2000002e-02,1.68000e+00,
3.3000000e-02,1.52000e+00,
3.4000002e-02,1.52000e+00,
3.5000000e-02,1.32000e+00,
3.6000002e-02,1.36000e+00,
3.7000000e-02,1.16000e+00,
3.8000003e-02,1.20000e+00,
3.9000001e-02,1.00000e+00,
4.0000003e-02,1.00000e+00,
4.1000001e-02,8.00000e-01,
4.2000003e-02,8.00000e-01,
4.3000001e-02,6.40000e-01,
4.4000003e-02,6.40000e-01,
4.5000002e-02,5.20000e-01,
4.6000000e-02,5.20000e-01,
4.7000002e-02,3.60000e-01,
4.8000000e-02,3.60000e-01,
4.9000002e-02,1.60000e-01,
5.0000001e-02,2.00000e-01,
5.1000003e-02,4.00000e-02,
5.2000001e-02,4.00000e-02,
5.3000003e-02,2.80000e-01,
5.4000001e-02,2.40000e-01,
5.5000003e-02,4.40000e-01,
5.6000002e-02,4.40000e-01,
5.7000004e-02,5.60000e-01,
5.8000002e-02,5.60000e-01,
5.9000000e-02,7.20000e-01,
6.0000002e-02,7.20000e-01,
6.1000004e-02,8.80000e-01,
6.1999999e-02,8.80000e-01,
