X,CH1,
Second,Volt,
-5.3999996e-05,0.00000e+00,
-5.3599997e-05,-8.00000e-02,
-5.3199998e-05,0.00000e+00,
-5.2799998e-05,-8.00000e-02,
-5.2399995e-05,0.00000e+00,
-5.1999996e-05,-8.00000e-02,
-5.1599996e-05,8.00000e-02,
-5.1199997e-05,2.40000e-01,
-5.0799998e-05,9.60000e-01,
-5.0399998e-05,1.12000e+00,
-4.9999999e-05,1.76000e+00,
-4.9599996e-05,1.84000e+00,
-4.9199996e-05,2.56000e+00,
-4.8799997e-05,2.64000e+00,
-4.8399997e-05,3.12000e+00,
-4.7999998e-05,3.28000e+00,
-4.7599999e-05,3.12000e+00,
-4.7199996e-05,3.28000e+00,
-4.6799996e-05,3.20000e+00,
-4.6399997e-05,3.28000e+00,
-4.5999997e-05,3.20000e+00,
-4.5599998e-05,3.20000e+00,
-4.5199999e-05,3.28000e+00,
-4.4799999e-05,3.28000e+00,
-4.4399996e-05,3.20000e+00,
-4.3999997e-05,3.28000e+00,
-4.3599997e-05,3.12000e+00,
-4.3199998e-05,3.28000e+00,
-4.2799998e-05,3.12000e+00,
-4.2399999e-05,3.28000e+00,
-4.1999996e-05,3.20000e+00,
-4.1599997e-05,3.20000e+00,
-4.1199997e-05,3.28000e+00,
-4.0799998e-05,3.28000e+00,
-4.0399998e-05,3.28000e+00,
-3.9999999e-05,3.28000e+00,
-3.9599996e-05,3.12000e+00,
-3.9199997e-05,3.28000e+00,
-3.8799997e-05,3.12000e+00,
-3.8399998e-05,3.28000e+00,
-3.7999998e-05,3.12000e+00,
-3.7599999e-05,3.28000e+00,
-3.7199999e-05,3.20000e+00,
-3.6799996e-05,3.20000e+00,
-3.6399997e-05,3.28000e+00,
-3.5999998e-05,3.28000e+00,
-3.5599998e-05,3.12000e+00,
-3.5199999e-05,3.12000e+00,
-3.4799999e-05,3.28000e+00,
-3.4399996e-05,3.28000e+00,
-3.3999997e-05,3.12000e+00,
-3.3599998e-05,3.28000e+00,
-3.3199998e-05,3.12000e+00,
